章,章タイトル,節（§番号か見出し）,原文（そのままコピー）,指摘の種類,指摘の内容,希望する直し,状態
第1章,細胞とは何か,,本業と、後で効いてくる一点だけ。どの細胞がどの施術に関わるかは第8部で。,言い回し,本業ってなに？,,済（2026-08-08 本文修正済み）
第1章,細胞とは何か,,作るだけでなく MMP（matrix metalloproteinase＝ECMを分解する酵素群）で壊して作り替える。真皮の質は、いまどちらに傾いているかの結果,構成,Fibroblastのせつめいなのに作るだけでなくMMPで壊して作り替えってのはおかしくない？それはECMの説明だよね？,,済（2026-08-08 本文修正済み）
第1章,細胞とは何か,,単なる詰め物ではない,言い回し,詰め物という言い方はいがくてきではない。エネルギー貯蔵としての観点は？,,済（2026-08-08 本文修正済み）
第1章,細胞とは何か,,細胞の海　ECMの林,言い回し,わかりやすいようで微妙かな？いわんとしてることはわかるけど・・・,,済（2026-08-08 本文修正済み）
第2章,第2章　オルガネラ（細胞内小器官）,,,,,,未
第3章,細胞はどう仕事を分担するか,,,,,,未
第4章,DNAからタンパク質まで,,,,,,未
第5章,エピゲノム,,,,,,未
第6章,受容体と細胞内シグナル,,,,,,未
第7章,細胞膜と物質輸送,,,,,,未
第8章,代謝とATP,,,,,,未
第9章,第9章　解糖系（glycolysis）,,,,,,未
第10章,TCA回路,,,,,,未
第11章,第11章　電子伝達系（electron transport chain）,,,,,,未
第12章,第12章　酸化ストレスと抗酸化,,,,,,未
第13章,NAD⁺,,,,,,未
第14章,アミノ酸は材料でありシグナルでもある,,,,,,未
第15章,mTORC1はアミノ酸をどう感知するか,,,,,,未
第16章,オートファジーとリソソーム,,,,,,未
第17章,ミトコンドリア品質管理,,,,,,未
第18章,AMPKとmTOR,,,,,,未
第19章,細胞周期,,,,,,未
第20章,細胞死,,,,,,未
第21章,炎症と創傷治癒,,,,,,未
第22章,第22章　血管・内皮と神経血管ユニット（あかみの土台）,,,,,,未
第23章,ECMとmechanotransduction,,,,,,未
第24章,第24章　Hallmarks of Aging（老化の指標）,,,,,,未
第25章,第25章　細胞老化（cellular senescence）,,,,,,未
第26章,ミトコンドリア機能不全と細胞老化,,,,,,未
第27章,線維芽細胞とコラーゲン,,,,,,未
第28章,第28章　ヒアルロン酸フィラーの生化学,,,,,,未
第29章,第29章　レチノイド外用の生化学,,,,,,未
第30章,第30章　弾性線維と膠原線維（たるみの見落とされた半分）,,,,,,未
第31章,第31章　糖化とAGE・RAGE,,,,,,未
第32章,第32章　たるみを構成する5要素（骨・脂肪・筋・靭帯・皮膚）,,,,,,未
第33章,第33章　熱・光・機械刺激（RF・laser・MFU/HIFU）,,,,,,未
第34章,第34章　ニードルRF（フラクショナルマイクロニードルRF）,,,,,,未
第35章,第35章　HIFU（高密度焦点式超音波）,,,,,,未
第36章,第36章　フラクショナルレーザー,,,,,,未
第37章,第37章　IPL（広帯域・光治療）,,,,,,未
第38章,第38章　Qスイッチ・ピコ秒レーザー（メラニンを狙う）,,,,,,未
第39章,第39章　血管レーザー（KTP・PDL・Nd:YAG）,,,,,,未
第40章,第40章　PBM・LED（photobiomodulation）,,,,,,未
第41章,第41章　赤み（酒さ・血管拡張・紅斑）の生化学,,,,,,未
第42章,第42章　プラズマ治療（窒素プラズマ・cold atmospheric plasma）,,,,,,未
第43章,肌育治療を細胞生物学で読む,,,,,,未
第44章,第44章　エクソソームと幹細胞培養上清（secretome）,,,,,,未
第45章,第45章　バイオスティミュレーター（コラーゲン誘導注入剤）,,,,,,未
第46章,第46章　メラノサイトと色素形成（しみの細胞生物学）,,,,,,未
第47章,第47章　美白外用（HQ・tranexamic acid・vitamin C）,,,,,,未
第48章,第48章　ケミカルピーリング,,,,,,未
第49章,第49章　脂肪（部位・性質・ADSC）,,,,,,未
第50章,第50章　皮脂分泌の生化学 ―― なぜ皮脂腺は抑えにくいのか,,,,,,未
第51章,第51章　脂肪を減らす治療（cryolipolysis・デオキシコール酸）,,,,,,未
第52章,第52章　筋肉（myocyteと電磁刺激）,,,,,,未
第53章,第53章　ボツリヌストキシン,,,,,,未
第54章,第54章　NAD⁺前駆体（NMN・NR・NAM・niacin）,,,,,,未
第55章,第55章　senolytic・mitophagy関連介入（senolytic・senomorphic・urolithin A・spermidine）,,,,,,未
最終章,最終章　美容医療を細胞から考える,,,,,,未
